index,발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유,identifier1,identifier2,bookrunners,bkr_parts,comanagers,cmgr_parts
46,1794,(주)E1,KR6017941A66,B017941A6,일반사채 (116100),,상장,활성,2020-06-18,,E1 35,E1 35,회사채,,"120,000,000,000",2020-06-18,원화,2023-06-16,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.128,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-18,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,,한국기업평가,,DBFNFB,E1/ Bd 20230616 Sr Ungtd,,,35,,"['한국투자증권', 'NH투자증권', 'KB증권']","['30,000,000,000', '35,000,000,000', '15,000,000,000']","['한국산업은행', '이베스트투자증권']","['20,000,000,000', '20,000,000,000']"
53,1945,(주)아이비케이캐피탈,KR6019451A49,B019451A4,할부금융채권 (116250),,상장,활성,2020-04-09,,아이비케이캐피탈 212-1,IBK CAPITAL CORPORATION 212-1,회사채,,"10,000,000,000",2020-04-08,원화,2021-04-08,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.72,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-08,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.72 Bd 20210408 Sr,,,212-1,-1,['교보증권'],"['10,000']",[],[]
58,1945,(주)아이비케이캐피탈,KR6019452A48,B019452A4,할부금융채권 (116250),,상장,활성,2020-04-09,,아이비케이캐피탈 212-2,IBK CAPITAL CORPORATION 212-2,회사채,,"50,000,000,000",2020-04-08,원화,2021-05-07,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7280000000000002,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-07-08,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.728 Bd 20210507 Sr,,,212-2,-2,['교보증권'],"['10,000']","['SK증권', '부국증권', '케이티비투자증권']","['20,000', '10,000', '10,000']"
63,1945,(주)아이비케이캐피탈,KR6019453A47,B019453A4,할부금융채권 (116250),,상장,활성,2020-04-09,,아이비케이캐피탈 212-3,IBK CAPITAL CORPORATION 212-3,회사채,,"20,000,000,000",2020-04-08,원화,2022-04-08,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.774,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-08,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.774 Bd 20220408 Sr,,,212-3,-3,['한국산업은행'],"['20,000']",[],[]
68,1945,(주)아이비케이캐피탈,KR6019454A46,B019454A4,할부금융채권 (116250),,상장,활성,2020-04-20,,아이비케이캐피탈 213-1,IBK CAPITAL CORPORATION 213-1,회사채,,"10,000,000,000",2020-04-17,원화,2021-04-16,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.781,,100,100,마지막이자 365 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-17,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,키움증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.781 Bd 20210416 Sr,,,213-1,-1,['메리츠증권'],"['10,000']",[],[]
73,1945,(주)아이비케이캐피탈,KR6019455A45,B019455A4,할부금융채권 (116250),,상장,활성,2020-04-20,,아이비케이캐피탈 213-2,IBK CAPITAL CORPORATION 213-2,회사채,,"10,000,000,000",2020-04-17,원화,2021-09-17,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.786,,100,100,마지막이자 365 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-17,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,키움증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.786 Bd 20210917 Sr,,,213-2,-2,['메리츠증권'],"['10,000']",[],[]
77,1945,(주)아이비케이캐피탈,KR6019456A44,B019456A4,할부금융채권 (116250),,상장,활성,2020-04-20,,아이비케이캐피탈 213-3,IBK CAPITAL CORPORATION 213-3,회사채,,"50,000,000,000",2020-04-17,원화,2021-10-15,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.787,,100,100,마지막이자 365 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-17,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,키움증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.787 Bd 20211015 Sr,,,213-3,-3,['키움증권'],"['20,000']",['하나금융투자'],"['30,000']"
81,1945,(주)아이비케이캐피탈,KR6019457A43,B019457A4,할부금융채권 (116250),,상장,활성,2020-04-24,,아이비케이캐피탈 214-1,IBK CAPITAL CORPORATION 214-1,회사채,,"30,000,000,000",2020-04-23,원화,2021-04-23,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.798,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-23,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.798 Bd 20210423 Sr,,,214-1,-1,['교보증권'],"['20,000']",['이베스트투자증권'],"['10,000']"
85,1945,(주)아이비케이캐피탈,KR6019458A42,B019458A4,할부금융채권 (116250),,상장,활성,2020-04-24,,아이비케이캐피탈 214-2,IBK CAPITAL CORPORATION 214-2,회사채,,"10,000,000,000",2020-04-23,원화,2021-06-23,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7990000000000002,,100,100,마지막 이자지급 365일 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-07-23,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.799 Bd 20210623 Sr,,,214-2,-2,['케이티비투자증권'],"['10,000']",[],[]
88,1945,(주)아이비케이캐피탈,KR6019459A41,B019459A4,할부금융채권 (116250),,상장,활성,2020-04-24,,아이비케이캐피탈 214-3,IBK CAPITAL CORPORATION 214-3,회사채,,"10,000,000,000",2020-04-23,원화,2021-07-23,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.8,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-23,비매출,,,무기명,,,,,한국예탁결제원,중소기업은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,IBK CAPITAL/1.800 Bd 20210723 Sr,,,214-3,-3,['케이티비투자증권'],"['10,000']",[],[]
