발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유
1,(주)신한은행,KR60000119B0,B0000119B,일반은행채 (116210),,상장,활성,2019-11-12,,신한은행 23-11-이-3-A,SHINHAN BANK 23-11COUP3A,회사채,,"300,000,000,000",2019-11-08,원화,2022-11-08,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.72,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-02-08,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,한국투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.72 Bd 20221108 Sr,,
1,(주)신한은행,KR60000129B9,B0000129B,일반은행채 (116210),,상장,활성,2019-11-12,,신한은행 23-11-이-1.5-A,SHINHAN BANK 23-11COUP1.5A,회사채,,"300,000,000,000",2019-11-11,원화,2021-05-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.62,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-02-11,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.62 Bd 20210511 Sr,,
1,(주)신한은행,KR60000139B8,B0000139B,일반은행채 (116210),,상장,활성,2019-11-13,,신한은행 23-11-이-2-A,SHINHAN BANK 23-11COUP2A,회사채,,"130,000,000,000",2019-11-12,원화,2021-11-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.65,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-02-12,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,케이티비투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.65 Bd 20211112 Sr,,
1,(주)신한은행,KR60000149A9,B0000149A,일반은행채 (116210),,상장,활성,2019-10-14,,신한은행 23-10-이-3-A,SHINHAN BANK 23-10COUP3A,회사채,,"200,000,000,000",2019-10-11,원화,2022-10-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.45,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-01-11,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,한국투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.45 Bd 20221011 Sr,,
1,(주)신한은행,KR60000149B7,B0000149B,일반은행채 (116210),,상장,활성,2019-11-15,,신한은행 23-11-이-2-B,SHINHAN BANK 23-11COUP2B,회사채,,"170,000,000,000",2019-11-14,원화,2021-11-14,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.65,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-02-14,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,케이티비투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.65 Bd 20211114 Sr,,
1,(주)신한은행,KR60000159A8,B0000159A,일반은행채 (116210),,상장,활성,2019-10-24,,신한은행 23-10-복-20-A,SHINHAN BANK 23-10COMP20-A,회사채,,"50,000,000,000",2019-10-23,원화,2039-10-23,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,2.02,,100,100.0,"Y1~Y20 : [(1+2.02%)∧P-1] (P:콜행사시까지 경과연수), 30/360",Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240.0,상환일,12.0,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,삼성증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNGB,SHINHAN  BK/2.02 Bd 20391023 Sr,발행기관,발행1년부터 매년 동일자에 가능
1,(주)신한은행,KR60000159B6,B0000159B,일반은행채 (116210),,상장,활성,2019-11-15,,신한은행 23-11-이-3-B,SHINHAN BANK 23-11COUP3B,회사채,,"180,000,000,000",2019-11-14,원화,2022-11-14,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.73,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-02-14,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,케이티비투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.65 Bd 20211114 Sr,,
1,(주)신한은행,KR60000169B5,B0000169B,일반은행채 (116210),,상장,활성,2019-11-25,,신한은행 23-11-할-1-A,SHINHAN BANK 23-11DIS1-A,회사채,,"350,000,000,000",2019-11-21,원화,2020-11-21,일반채권,무보증,,고정금리형-할인채,공모-간접발행,국내발행,NO,확정,1.57,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,,발행일,,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,이베스트투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBZNFB,SHINHAN  BK/Disc Bd 20201121 Sr,,
1,(주)신한은행,KR60000179B4,B0000179B,일반은행채 (116210),,상장,활성,2019-11-28,,신한은행 23-11-복-20-A,SHINHAN BANK 23-11COMP20-A,회사채,,"30,000,000,000",2019-11-27,원화,2039-11-27,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,2.17,,100,100.0,,Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240.0,발행일,12.0,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,삼성증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/Vari Bd 20391127 Sr,발행기관,
3,(주)우리은행,KR60000319A8,B0000319A,일반은행채 (116210),,상장,활성,2019-10-04,,우리은행 23-10-이표03-갑-02,WOORI BANK 23-10-COUP03-@-02,회사채,,"200,000,000,000",2019-10-02,원화,2022-10-02,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.51,,100,100.0,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,,2020-01-02,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,삼성증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,Woori Bank/1.51 Bd 20221002 Sr,,
