발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유
00001,(주)신한은행,KR6000011A18,B000011A1,일반은행채 (116210),,상장,활성,2020-01-31,,신한은행 24-01-복-20-A,SHINHAN BANK 24-01COMP20-A,회사채,,"10,000,000,000",2020-01-29,원화,2040-01-29,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,2.1,,100,100,,Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240,발행일,12,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,신영증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBVNGB,SHINHAN  BK/Vari Bd 20400129 Sr,발행기관,발행후 2년시점부터 매해 동일자에 행사가능
00001,(주)신한은행,KR6000011A26,B000011A2,일반은행채 (116210),,상장,활성,2020-02-26,,신한은행 24-02-이-영구5갑(신),SHINHAN BANK 24-02COUP5@(Hyb-P),회사채,,"240,000,000,000",2020-02-25,원화,9999-12-31,일반채권,무보증,,변동금리형-이표채,공모-간접발행,국내발행,NO,확정,2.88,,100,0,"5년마다 금리변동, 기준일 2영업일전 국고채5년 민평4사+1.46%",Call(콜),후후순위,영구채,NO,,NO,상각형,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-05-25,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBVJQB,SHINHAN  BK/Vari Bd 99991231 Jr Sub,발행기관,발행일로부터5년경과(해당일포함)후 매3개월
00001,(주)신한은행,KR6000011A34,B000011A3,일반은행채 (116210),,상장,활성,2020-03-03,,신한은행 24-03-할-10M-A,SHINHAN BANK 24-03DIS10M-A,회사채,,"250,000,000,000",2020-03-02,원화,2021-01-02,일반채권,무보증,,고정금리형-할인채,공모-간접발행,국내발행,NO,확정,1.22,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,,발행일,,절사,일자기준,365일,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,삼성증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBZNFB,SHINHAN  BK/Disc Bd 20210102 Sr,,
00001,(주)신한은행,KR6000012A25,B000012A2,일반은행채 (116210),,상장,활성,2020-02-26,,신한은행 24-02-이-영구10갑(신,SHINHAN BANK 24-02COUP10@(Hyb-P),회사채,,"50,000,000,000",2020-02-25,원화,9999-12-31,일반채권,무보증,,변동금리형-이표채,공모-간접발행,국내발행,NO,확정,3.08,,100,0,"10년마다 금리결정,금리결정일 2영업일전 국고채10년 민평4사",Call(콜),후후순위,영구채,NO,,NO,상각형,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-05-25,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,교보증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBVJQB,SHINHAN  BK/Vari Bd 99991231 Jr Sub,발행기관,발행일로부터10년포함 매 3개월
00001,(주)신한은행,KR6000012A33,B000012A3,일반은행채 (116210),,상장,활성,2020-03-04,,신한은행 24-03-할-10M-B,SHINHAN BANK 24-03DIS10M-B,회사채,,"300,000,000,000",2020-03-03,원화,2021-01-03,일반채권,무보증,,고정금리형-할인채,공모-간접발행,국내발행,NO,확정,1.18,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),선급,,상환일,,절사,일자기준,365일,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,,,NICE신용평가, ,한국신용평가,한국기업평가,,DBZNFB,SHINHAN  BK/Disc Bd 20210103 Sr,,
00001,(주)신한은행,KR6000013A32,B000013A3,일반은행채 (116210),,상장,활성,2020-03-05,,신한은행 24-03-이-3A,SHINHAN BANK 24-03COUP3A,회사채,,"100,000,000,000",2020-03-04,원화,2023-03-04,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.32,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-06-04,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,하나금융투자(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.32 Bd 20230304 Sr,,
00001,(주)신한은행,KR6000015A30,B000015A3,일반은행채 (116210),,상장,활성,2020-03-10,,신한은행 24-03-할-11M-A,SHINHAN BANK 24-03DIS11M-A,회사채,,"200,000,000,000",2020-03-09,원화,2021-02-09,일반채권,무보증,,고정금리형-할인채,공모-간접발행,국내발행,NO,확정,1.15,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),선급,,발행일,,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,삼성증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBZNFB,SHINHAN  BK/Disc Bd 20210209 Sr,,
00001,(주)신한은행,KR6000017A38,B000017A3,일반은행채 (116210),,상장,활성,2020-03-23,,신한은행 24-03-복-20-A,SHINHAN BANK 24-03COMP20-A,회사채,,"50,000,000,000",2020-03-20,원화,2040-03-20,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,1.91,,100,100,Y1~Y20 : [(1+1.91%)^P - 1],Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240,발행일,12,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,신영증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNGB,SHINHAN  BK/1.19 Bd 20400320 Sr,발행기관,2021년3월20일(해당일포함)이후매년3월20
00001,(주)신한은행,KR6000018A37,B000018A3,일반은행채 (116210),,상장,활성,2020-03-23,,신한은행 24-03-복-20-B,SHINHAN BANK 24-03COMP20-B,회사채,,"50,000,000,000",2020-03-20,원화,2040-03-20,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,1.91,,100,100,Y1~Y20 : [(1+1.91%)^P - 1],Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240,발행일,12,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,신영증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNGB,SHINHAN  BK/1.91 Bd 20400320 Sr,발행기관,2021년3월20일(해당일포함)이후매년3월20
00001,(주)신한은행,KR6000019A36,B000019A3,일반은행채 (116210),,상장,활성,2020-03-25,,신한은행 24-03-복-20-C,SHINHAN BANK 24-03COMP20-C,회사채,,"30,000,000,000",2020-03-24,원화,2040-03-24,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,2.06,,100,100,Y1~Y20 : [(1+2.06%)]^P - 1],Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240,발행일,12,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,하나금융투자(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNGB,SHINHAN  BK/2.06 Bd 20400324 Sr,발행기관,2021년3월24일(해당일포함)이후매년3월24
