ISIN,deal_num
KR6000011A75,2391068.0
KR6000011A91,2391069.0
KR6000012A66,2391070.0
KR6000012A82,2391064.0
KR6000012A90,2391069.0
KR6000013A81,2391071.0
KR6000031A55,2391072.0
KR6000031A63,2391073.0
KR6000031A97,2391074.0
KR6000032A54,2391075.0
KR6000032A70,2391076.0
KR6000035A36,2391077.0
KR6000036A35,2391078.0
KR6000081A62,2391079.0
KR6000082A61,2391079.0
KR6000121A49,2391080.0
KR6000211A57,2391081.0
KR6000641A57,2391082.0
KR6000721A92,2391083.0
KR6000722A91,2391083.0
KR6000723A90,2391083.0
KR6000881A64,2391084.0
KR6001122A53,2362746.0
KR6002271A43,2391085.0
KR6002381A65,2391086.0
KR6003301A52,2391087.0
KR6003411A91,2391088.0
KR6003541A78,2391089.0
KR6003851A64,2391090.0
KR6004021A75,2362753.0
KR6004022A74,2362754.0
KR6004023A73,2362755.0
KR6004691A58,2391091.0
KR6004692A57,2362757.0
KR6004991A48,2391092.0
KR6005271A46,2391093.0
KR6005271A53,2391094.0
KR6005271A79,2391095.0
KR6005272A37,2391096.0
KR6005272A78,2391097.0
KR6005281A51,2391098.0
KR6005281A77,2391099.0
KR6005281A85,2391100.0
KR6005281A93,2391101.0
KR6005282A35,2391102.0
KR6005282A84,2391103.0
KR6005282A92,2391104.0
KR6005301A40,2391105.0
KR6005302A49,2362767.0
KR6005382A59,2391106.0
KR6005383A58,2391106.0
KR6006121A95,2391107.0
KR6006122A94,2391107.0
KR6006361A60,2391108.0
KR6007161A60,2391109.0
KR6007691A69,2391110.0
KR6008271A40,2391111.0
KR6008271A57,2391112.0
KR6008271A65,2391113.0
KR6008271A73,2391114.0
KR6008271A81,2391115.0
