isin,notes

KR6001122A53,[]

KR6005272A37,['participation value not matched with issue size']

KR6005271A46,['participation value not matched with issue size']

KR6005271A53,['participation value not matched with issue size']

KR6005271A79,['participation value not matched with issue size']

KR6005272A78,['participation value not matched with issue size']

KR6000151A91,['cannot find syndicate bank id 유진투자증권']

KR6005282A35,[]

KR6005281A51,[]

KR6005281A77,[]

KR6005281A85,[]

KR6005282A84,[]

KR6005281A93,[]

KR6005282A92,[]

KR6000011A67,['cannot find syndicate bank id 아이비케이투자증권']

KR6000012A66,['participation value not matched with issue size']

KR6000011A75,['participation value not matched with issue size']

KR6000011A83,['cannot find syndicate bank id 교보증권주식회사']

KR6000012A82,[]

KR6000013A81,[]

KR6000011A91,"['participation value not matched with issue size', 'participation value not matched with issue size']"

KR6000034A37,['no original book runner info']

KR6000035A36,[]

KR6000036A35,[]

KR6000031A55,[]

KR6000032A54,[]

KR6000031A63,[]

KR6000032A62,['no original book runner info']

KR6000031A71,['no original book runner info']

KR6000032A70,[]

KR6000031A89,['no original book runner info']

KR6000032A88,['no original book runner info']

KR6000031A97,[]

KR6007071A93,['cannot find issuer comanpy id 지에스리테일']

KR6002381A65,[]

KR6003671A62,"['cannot find syndicate bank id 케이비증권', 'cannot find syndicate bank id 케이비증권']"

KR6004942A89,['no original book runner info']

KR6002322A75,['no original book runner info']

KR6000881A64,[]

KR6003451A68,"['no original book runner info', 'no original book runner info']"

KR6007691A69,[]

KR6000271A47,"['cannot find syndicate bank id 케이비증권', 'cannot find syndicate bank id 케이비증권']"

KR6000211A57,['participation value not matched with issue size']

KR6003541A78,[]

KR6001791A53,"['cannot find syndicate bank id 아이비케이투자증권', 'cannot find syndicate bank id 아이비케이투자증권']"

KR6000641A57,[]

KR6000401A57,['cannot find syndicate bank id 메리츠증권']

KR6004991A48,[]

KR6004991A97,"['cannot find syndicate bank id 케이비증권', 'cannot find syndicate bank id 케이비증권']"

KR6005301A40,[]

KR6002271A43,[]

KR6006801A68,"['no original book runner info', 'no original book runner info']"

KR6006801A92,"['no original book runner info', 'no original book runner info']"

KR6003851A64,[]

KR6007161A60,[]

KR6008271A40,['participation value not matched with issue size']

KR6008271A57,[]

KR6008271A65,[]

KR6008271A73,[]

KR6008271A81,[]

KR6008271A99,['cannot find syndicate bank id 메리츠증권']

KR6004691A58,[]

KR6003411A91,[]

KR6000121A49,[]

KR6003341A62,"['cannot find issuer comanpy id 에스케이건설', 'cannot find syndicate bank id 케이비증권', 'cannot find syndicate bank id 케이비증권']"

KR6006121A95,[]

KR6005941A95,"['cannot find issuer comanpy id 엔에이치투자증권', 'cannot find principal_paying_agency_id 농협은행(주)', 'no original book runner info', 'no original book runner info']"

KR6006361A60,[]

KR6000081A62,[]

KR6003301A52,[]

KR6000721A92,[]

KR6004051A78,[]

KR6005382A59,"['participation value not matched with issue size', 'participation value not matched with issue size']"

KR6004021A75,[]

KR6000541A74,"['cannot find issuer comanpy id 흥국화재해상보험', 'cannot find syndicate bank id 메리츠증권']"

