isin,tranches in same deal,parse_notes
KR6017941A66,KR6017941A66,[]
KR6019451A49,KR6019451A49,[]
KR6019452A48,KR6019451A49,[]
KR6019453A47,KR6019451A49,[]
KR6019454A46,KR6019454A46,[]
KR6019455A45,KR6019454A46,[]
KR6019456A44,KR6019454A46,[]
KR6019457A43,KR6019457A43,[]
KR6019458A42,KR6019457A43,[]
KR6019459A41,KR6019457A43,[]
KR601945AA46,KR6019457A43,[]
KR6019451A64,KR6019451A64,[]
KR6019452A63,KR6019451A64,[]
KR6019453A62,KR6019451A64,[]
KR6019454A61,KR6019451A64,[]
KR6019455A60,KR6019455A60,[]
KR6019456A69,KR6019455A60,[]
KR6019457A68,KR6019455A60,[]
KR6019458A67,KR6019455A60,[]
KR6019459A66,KR6019455A60,[]
KR601945AA61,KR6019455A60,[]
KR6019451A72,KR6019451A72,[]
KR6019452A71,KR6019451A72,[]
KR6019453A70,KR6019451A72,[]
KR6019454A79,KR6019451A72,[]
KR6019455A78,KR6019455A78,['cannot find syndicate bank id 카카오페이증권']
KR6019456A77,KR6019455A78,['cannot find syndicate bank id 카카오페이증권']
KR6019457A76,KR6019455A78,['cannot find syndicate bank id 카카오페이증권']
KR6019451A80,KR6019451A80,[]
KR6019452A89,KR6019451A80,[]
KR6019453A88,KR6019451A80,[]
KR6019454A87,KR6019451A80,[]
KR6019455A86,KR6019451A80,[]
KR6019456A85,KR6019456A85,[]
KR6019457A84,KR6019456A85,[]
KR6019458A83,KR6019456A85,[]
KR6019459A82,KR6019456A85,[]
KR601945AA87,KR6019456A85,[]
KR6019451A98,KR6019451A98,[]
KR6019452A97,KR6019451A98,[]
KR6019453A96,KR6019451A98,[]
KR6019454A95,KR6019451A98,[]
KR6008691A67,KR6008691A67,[]
KR6008771A45,KR6008771A45,[]
KR6008772A44,KR6008771A45,[]
KR6008773A43,KR6008771A45,[]
KR6010061A73,KR6010061A73,[]
KR6010951A84,KR6010951A84,[]
KR6010952A83,KR6010951A84,[]
KR6010953A82,KR6010951A84,[]
KR6011791A52,KR6011791A52,[]
KR6011792A51,KR6011791A52,[]
KR6018671A60,KR6018671A60,[]
KR6018672A69,KR6018671A60,[]
KR6018673A68,KR6018671A60,[]
KR6011171A78,KR6011171A78,[]
KR6011172A77,KR6011171A78,[]
KR6008561A49,KR6008561A49,['no original book runner info']
KR6008561A56,KR6008561A56,[]
KR6008561A64,KR6008561A64,[]
KR6008561A98,KR6008561A98,[]
KR6008272A49,KR6008272A49,[]
KR6008272A56,KR6008272A56,[]
KR6008273A55,KR6008272A56,[]
KR6008274A54,KR6008272A56,[]
KR6008275A53,KR6008272A56,[]
KR6008276A52,KR6008276A52,[]
KR6008277A51,KR6008276A52,[]
KR6008278A50,KR6008276A52,[]
KR6008279A59,KR6008279A59,[]
KR600827AA58,KR6008279A59,[]
KR600827BA57,KR6008279A59,[]
KR6008272A64,KR6008272A64,[]
KR6008273A63,KR6008272A64,[]
KR6008274A62,KR6008272A64,[]
KR6008275A61,KR6008275A61,[]
KR6008276A60,KR6008275A61,[]
KR6008272A72,KR6008272A72,[]
KR6008273A71,KR6008273A71,[]
KR6008274A70,KR6008273A71,[]
KR6008272A80,KR6008272A80,[]
KR6016361A93,KR6016361A93,[]
KR6016362A92,KR6016361A93,[]
KR6016363A91,KR6016361A93,[]
KR6010121A55,KR6010121A55,['no original book runner info']
KR6011071A87,KR6011071A87,[]
KR6011072A86,KR6011071A87,[]
KR6011073A85,KR6011071A87,[]
KR6019801A46,KR6019801A46,[]
KR6019801A53,KR6019801A53,[]
KR6019801A61,KR6019801A61,[]
KR6019801A79,KR6019801A79,[]
KR6019801A87,KR6019801A87,[]
KR6019801A95,KR6019801A95,[]
KR6018881A90,KR6018881A90,[]
KR6018882A99,KR6018881A90,[]
KR6018883A98,KR6018881A90,[]
KR6009831A41,KR6009831A41,[]
KR6012451A44,KR6012451A44,[]
KR6017801A65,KR6017801A65,[]
