ISIN,deal_num,notes,post_notes
KR6000011A67,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000011A75,2391068.0,,
KR6000011A83,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000011A91,2391069.0,,
KR6000012A66,2391070.0,,
KR6000012A82,2391064.0,,
KR6000012A90,2391069.0,,
KR6000013A81,2391071.0,,
KR6000031A55,2391072.0,,
KR6000031A63,2391073.0,,
KR6000031A71,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2105.""],""deal"":[""Syndicate on tranche 0 must be specified.""]}}'"
KR6000031A89,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2105.""],""deal"":[""Syndicate on tranche 0 must be specified.""]}}'"
KR6000031A97,2391074.0,,
KR6000032A54,2391075.0,,
KR6000032A62,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'",
KR6000032A70,2391076.0,,
KR6000032A88,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2105.""],""deal"":[""Syndicate on tranche 0 must be specified.""]}}'"
KR6000034A37,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2104.""],""deal"":[""Syndicate on tranche 0 must be specified.""]}}'"
KR6000035A36,2391077.0,,
KR6000036A35,2391078.0,,
KR6000081A62,2391079.0,,
KR6000082A61,2391079.0,,
KR6000121A49,2391080.0,,
KR6000151A91,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6000211A57,2391081.0,,
KR6000212A56,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1]"":[""Syndicate Participation amounts must equal tranche CurrencyAmount.""]}}'",
KR6000271A47,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000272A46,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[0].Id"":[""Id must be a positive number.""]}}'",
KR6000273A45,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[0].Id"":[""Id must be a positive number.""]}}'",
KR6000401A57,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000541A74,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000641A57,2391082.0,,
KR6000721A92,2391083.0,,
KR6000722A91,2391083.0,,
KR6000723A90,2391083.0,,
KR6000881A64,2391084.0,,
KR6001122A53,2362746.0,,
KR6001791A53,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6001792A52,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'",
KR6002271A43,2391085.0,,
