isin,tranches in same deal,deal_num,parse_notes,post_notes
KR6017941A66,KR6017941A66,2391144,[],
KR6019451A49,KR6019451A49,2391147,[],
KR6019452A48,KR6019451A49,2391147,[],
KR6019453A47,KR6019451A49,2391147,[],
KR6019454A46,KR6019454A46,2391152,[],
KR6019455A45,KR6019454A46,2391152,[],
KR6019456A44,KR6019454A46,2391152,[],
KR6019457A43,KR6019457A43,2391155,[],
KR6019458A42,KR6019457A43,2391155,[],
KR6019459A41,KR6019457A43,2391155,[],
KR601945AA46,KR6019457A43,2391155,[],
KR6019451A64,KR6019451A64,2391148,[],
KR6019452A63,KR6019451A64,2391148,[],
KR6019453A62,KR6019451A64,2391148,[],
KR6019454A61,KR6019451A64,2391148,[],
KR6019455A60,KR6019455A60,2391153,[],
KR6019456A69,KR6019455A60,2391153,[],
KR6019457A68,KR6019455A60,2391153,[],
KR6019458A67,KR6019455A60,2391153,[],
KR6019459A66,KR6019455A60,2391153,[],
KR601945AA61,KR6019455A60,2391153,[],
KR6019451A72,KR6019451A72,2391149,[],
KR6019452A71,KR6019451A72,2391149,[],
KR6019453A70,KR6019451A72,2391149,[],
KR6019454A79,KR6019451A72,2391149,[],
KR6019455A78,KR6019455A78,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6019456A77,KR6019455A78,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6019457A76,KR6019455A78,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6019451A80,KR6019451A80,2391150,[],
KR6019452A89,KR6019451A80,2391150,[],
KR6019453A88,KR6019451A80,2391150,[],
KR6019454A87,KR6019451A80,2391150,[],
KR6019455A86,KR6019451A80,2391150,[],
KR6019456A85,KR6019456A85,2391154,[],
KR6019457A84,KR6019456A85,2391154,[],
KR6019458A83,KR6019456A85,2391154,[],
KR6019459A82,KR6019456A85,2391154,[],
KR601945AA87,KR6019456A85,2391154,[],
KR6019451A98,KR6019451A98,2391151,[],
KR6019452A97,KR6019451A98,2391151,[],
KR6019453A96,KR6019451A98,2391151,[],
KR6019454A95,KR6019451A98,2391151,[],
KR6008691A67,KR6008691A67,2391133,[],
KR6008771A45,KR6008771A45,2391134,[],
KR6008772A44,KR6008771A45,2391134,[],
KR6008773A43,KR6008771A45,2391134,[],
KR6010061A73,KR6010061A73,2391136,[],
KR6010951A84,KR6010951A84,2391138,[],
KR6010952A83,KR6010951A84,2391138,[],
KR6010953A82,KR6010951A84,2391138,[],
KR6011791A52,KR6011791A52,2391140,[],
KR6011792A51,KR6011791A52,2391140,[],
KR6018671A60,KR6018671A60,2391145,[],
KR6018672A69,KR6018671A60,2391145,[],
KR6018673A68,KR6018671A60,2391145,[],
KR6011171A78,KR6011171A78,2391139,[],
KR6011172A77,KR6011171A78,2391139,[],
KR6008561A49,KR6008561A49,2391129,['no original book runner info'],['no original book runner info']
KR6008561A56,KR6008561A56,2391130,[],
KR6008561A64,KR6008561A64,2391131,[],
KR6008561A98,KR6008561A98,2391132,[],
KR6008272A49,KR6008272A49,2391120,[],
KR6008272A56,KR6008272A56,2391121,[],
KR6008273A55,KR6008272A56,2391121,[],
KR6008274A54,KR6008272A56,2391121,[],
KR6008275A53,KR6008272A56,2391121,[],
KR6008276A52,KR6008276A52,2391127,[],
KR6008277A51,KR6008276A52,2391127,[],
KR6008278A50,KR6008276A52,2391127,[],
KR6008279A59,KR6008279A59,2391128,[],
KR600827AA58,KR6008279A59,2391128,[],
KR600827BA57,KR6008279A59,2391128,[],
KR6008272A64,KR6008272A64,2391122,[],
KR6008273A63,KR6008272A64,2391122,[],
KR6008274A62,KR6008272A64,2391122,[],
KR6008275A61,KR6008275A61,2391126,[],
KR6008276A60,KR6008275A61,2391126,[],
KR6008272A72,KR6008272A72,2391123,[],
KR6008273A71,KR6008273A71,2391125,[],
KR6008274A70,KR6008273A71,2391125,[],
KR6008272A80,KR6008272A80,2391124,[],
KR6016361A93,KR6016361A93,2391142,[],
KR6016362A92,KR6016361A93,2391142,[],
KR6016363A91,KR6016361A93,2391142,[],
KR6010121A55,KR6010121A55,2391137,['no original book runner info'],['no original book runner info']
KR6011071A87,KR6011071A87,0,[],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[0].Id"":[""Company with id 1490439 is not valid because it is not a bank.""],""deal.Tranches[2].Syndicate[1].Id"":[""Company with id 1490439 is not valid because it is not a bank.""]}}'"
KR6011072A86,KR6011071A87,0,[],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[0].Id"":[""Company with id 1490439 is not valid because it is not a bank.""],""deal.Tranches[2].Syndicate[1].Id"":[""Company with id 1490439 is not valid because it is not a bank.""]}}'"
KR6011073A85,KR6011071A87,0,[],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[0].Id"":[""Company with id 1490439 is not valid because it is not a bank.""],""deal.Tranches[2].Syndicate[1].Id"":[""Company with id 1490439 is not valid because it is not a bank.""]}}'"
KR6019801A46,KR6019801A46,2391156,[],
KR6019801A53,KR6019801A53,2391157,[],
