isin,tranches in same deal,deal_number,parse_notes,post_notes
KR61769419B3,KR61769419B3,2395406,[],
KR61769429B2,KR61769419B3,2395406,[],
KR61769439B1,KR61769419B3,2395406,[],
KR61769419C1,KR61769419C1,2395407,[],
KR61769429C0,KR61769419C1,2395407,[],
KR61769439C9,KR61769419C1,2395407,[],
KR61753319C1,KR61753319C1,2395408,[],
KR61055619A3,KR61055619A3,2395409,[],
KR61055629A2,KR61055619A3,2395409,[],
KR61055619C9,KR61055619C9,2395410,[],
KR61055629C8,KR61055619C9,2395410,[],
KR60053219C2,KR60053219C2,2395411,['no original book runner info'],
KR61268719C0,KR61268719C0,2395412,['no original book runner info'],
KR60321919B5,KR60321919B5,2395413,[],
KR60696219A9,KR60696219A9,2395414,[],
KR60034919B3,KR60034919B3,2395415,[],
KR60034929B2,KR60034919B3,2395415,[],
KR60195729A3,KR60195729A3,2395416,['no original book runner info'],
KR61380419B2,KR61380419B2,2395417,[],
KR60052819A4,KR60052819A4,2395418,[],
KR60052819B2,KR60052819B2,2395419,[],
KR60052829B1,KR60052829B1,2395420,[],
KR60555519A2,KR60555519A2,2395421,[],
KR60555529A1,KR60555519A2,2395421,[],
KR60555539A0,KR60555519A2,2395421,[],
KR60000149A9,KR60000149A9,2395422,[],
KR60000159A8,KR60000159A8,2395423,[],
KR60000129B9,KR60000129B9,2395424,[],
KR60000119B0,KR60000119B0,2395425,[],
KR60000139B8,KR60000139B8,2395426,[],
KR60000149B7,KR60000149B7,2395427,[],
KR60000159B6,KR60000159B6,2395428,[],
KR60000169B5,KR60000169B5,2395429,[],
KR60000179B4,KR60000179B4,2395430,[],
KR60194519A9,KR60194519A9,2395431,[],
KR60194529A8,KR60194519A9,2395431,[],
KR60194539A7,KR60194519A9,2395431,[],
KR60194549A6,KR60194549A6,2395432,[],
KR60194559A5,KR60194549A6,2395432,[],
KR60194569A4,KR60194549A6,2395432,[],
KR60194519B7,KR60194519B7,2395433,[],
KR60194529B6,KR60194519B7,2395433,[],
KR60194539B5,KR60194519B7,2395433,[],
KR60194549B4,KR60194519B7,2395433,[],
KR60194559B3,KR60194559B3,2395434,[],
KR60194569B2,KR60194559B3,2395434,[],
KR60194579B1,KR60194559B3,2395434,[],
KR60194589B0,KR60194559B3,2395434,[],
KR60194519C5,KR60194519C5,2395435,[],
KR60194529C4,KR60194519C5,2395435,[],
KR60194539C3,KR60194519C5,2395435,[],
KR60194549C2,KR60194549C2,2395436,[],
KR60194559C1,KR60194549C2,2395436,[],
KR60194569C0,KR60194549C2,2395436,[],
KR60194579C9,KR60194549C2,2395436,[],
KR60194589C8,KR60194549C2,2395436,[],
KR60194599C7,KR60194549C2,2395436,[],
KR601945A9C2,KR601945A9C2,2395437,[],
KR601945B9C1,KR601945A9C2,2395437,[],
KR601945C9C0,KR601945A9C2,2395437,[],
