isin,tranches in same deal,parse_notes,deal_num
KR6138931A88,KR6138931A88,[],2391955
KR6139131A92,KR6139131A92,[],2391956
KR6176941A94,KR6176941A94,['no original book runner info'],2391967
KR6176942A93,KR6176941A94,['no original book runner info'],2391967
KR6176943A92,KR6176943A92,['no original book runner info'],2391969
KR6176944A91,KR6176943A92,['no original book runner info'],2391969
KR6176941AA3,KR6176941AA3,['no original book runner info'],2391968
KR6176942AA1,KR6176941AA3,['no original book runner info'],2391968
KR6175331A86,KR6175331A86,[],2391966
KR6175332A85,KR6175331A86,[],2391966
KR6105561A84,KR6105561A84,[],2391951
KR6105562A83,KR6105561A84,[],2391951
KR6105563A82,KR6105561A84,[],2391951
KR6105564A81,KR6105561A84,[],2391951
KR6105561AA5,KR6105561AA5,[],2391952
KR6105562AA3,KR6105561AA5,[],2391952
KR6032641A92,KR6032641A92,[],2391942
KR6032642A91,KR6032641A92,[],2391942
KR6034121A97,KR6034121A97,[],2391943
KR6034122A96,KR6034121A97,[],2391943
KR6192521AA3,KR6192521AA3,['no original book runner info'],2391970
KR6192531A89,KR6192531A89,['no original book runner info'],2391971
KR6192532A88,KR6192532A88,['no original book runner info'],2391972
KR6047041A96,KR6047041A96,[],2391946
KR6049771A98,KR6049771A98,[],2391947
KR6095381A93,KR6095381A93,[],2391950
KR6000151A91,KR6000151A91,[],2391932
KR6138041A85,KR6138041A85,[],2391953
KR6138041AA9,KR6138041AA9,[],2391954
KR6005281A85,KR6005281A85,[],2391933
KR6005282A84,KR6005282A84,[],2391935
KR6005281A93,KR6005281A93,[],2391934
KR6005282A92,KR6005282A92,[],2391936
KR6034241AA0,KR6034241AA0,[],2391944
KR6306201A84,KR6306201A84,[],2391973
KR6055551A91,KR6055551A91,[],2391948
KR6000011A83,KR6000011A83,[],2391917
KR6000012A82,KR6000012A82,[],2391918
KR6000013A81,KR6000013A81,[],2391920
KR6000011AA7,KR6000011AA7,['API internal error'],0
KR6000012AA5,KR6000012AA5,[],2391919
KR6000013AA3,KR6000013AA3,[],2391921
KR6000014AA1,KR6000014AA1,[],2391922
KR6000015AA8,KR6000015AA8,[],2391923
KR6019451A80,KR6019451A80,[],2391938
KR6019452A89,KR6019451A80,[],2391938
KR6019453A88,KR6019451A80,[],2391938
KR6019454A87,KR6019451A80,[],2391938
KR6019455A86,KR6019451A80,[],2391938
KR6019456A85,KR6019456A85,[],2391941
KR6019457A84,KR6019456A85,[],2391941
KR6019458A83,KR6019456A85,[],2391941
KR6019459A82,KR6019456A85,[],2391941
KR601945AA87,KR6019456A85,[],2391941
KR6019451A98,KR6019451A98,[],2391939
KR6019452A97,KR6019451A98,[],2391939
KR6019453A96,KR6019451A98,[],2391939
KR6019454A95,KR6019451A98,[],2391939
KR6019451AA4,KR6019451AA4,[],2391940
KR6019452AA2,KR6019451AA4,[],2391940
KR6019453AA0,KR6019451AA4,[],2391940
KR6037561A97,KR6037561A97,[],2391945
KR6316141A94,KR6316141A94,[],2391974
KR6316141AA1,KR6316141AA1,[],2391975
KR6000032A70,KR6000032A70,[],2391927
KR6000031A89,KR6000031A89,['no original book runner info'],2391924
KR6000032A88,KR6000032A88,['no original book runner info'],2391928
KR6000031A97,KR6000031A97,[],2391925
KR6000032A96,KR6000032A96,[],2391929
KR6000031AA5,KR6000031AA5,[],2391926
KR6000032AA3,KR6000032AA3,[],2391930
KR6000033AA1,KR6000033AA1,[],2391931
KR6174141A89,KR6174141A89,[],2391961
KR6174142A88,KR6174141A89,[],2391961
KR6174143A87,KR6174141A89,[],2391961
KR6174141A97,KR6174141A97,[],2391962
KR6174142A96,KR6174141A97,[],2391962
KR6174143A95,KR6174141A97,[],2391962
KR6174144A94,KR6174141A97,[],2391962
KR6174145A93,KR6174145A93,[],2391963
KR6174146A92,KR6174145A93,[],2391963
KR6174147A91,KR6174145A93,[],2391963
KR6174145AA3,KR6174145AA3,[],2391964
KR6174146AA1,KR6174145AA3,[],2391964
KR6174147AA9,KR6174145AA3,[],2391964
KR6174148AA7,KR6174148AA7,[],2391965
KR6174149AA5,KR6174148AA7,[],2391965
KR617414AAA6,KR6174148AA7,[],2391965
