isin,tranches in same deal,parse_notes,deal_num,post_notes
KR6138931A54,KR6138931A54,[],2394203.0,
KR6138931A62,KR6138931A62,[],2394204.0,
KR6138931A70,KR6138931A70,[],2394205.0,
KR6139131A50,KR6139131A50,[],2394206.0,
KR6176941A52,KR6176941A52,[],2394238.0,
KR6176942A51,KR6176941A52,[],2394238.0,
KR6176943A50,KR6176941A52,[],2394238.0,
KR6176941A60,KR6176941A60,[],2394239.0,
KR6176942A69,KR6176941A60,[],2394239.0,
KR6176943A68,KR6176941A60,[],2394239.0,
KR6176944A67,KR6176941A60,[],2394239.0,
KR6017941A66,KR6017941A66,[],2394143.0,
KR6175331A52,KR6175331A52,[],2394237.0,
KR6175332A51,KR6175331A52,[],2394237.0,
KR6105561A50,KR6105561A50,[],2394195.0,
KR6105562A59,KR6105561A50,[],2394195.0,
KR6105563A58,KR6105563A58,[],2394198.0,
KR6105564A57,KR6105563A58,[],2394198.0,
KR6105561A68,KR6105561A68,[],2394196.0,
KR6105562A67,KR6105561A68,[],2394196.0,
KR6105563A66,KR6105561A68,[],2394196.0,
KR6105561A76,KR6105561A76,[],2394197.0,
KR6105562A75,KR6105561A76,[],2394197.0,
KR6093051A63,KR6093051A63,['cannot find issuer comanpy id LF'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6001122A53,KR6001122A53,[],2394119.0,
KR6001123A52,KR6001122A53,[],2394119.0,
KR6192521A57,KR6192521A57,['no original book runner info'],2394241.0,
KR6192531A71,KR6192531A71,['no original book runner info'],2394242.0,
KR6005271A53,KR6005271A53,[],2394127.0,
KR6005271A79,KR6005271A79,[],2394128.0,
KR6005272A78,KR6005272A78,[],2394129.0,
KR6047041A70,KR6047041A70,[],2394166.0,
KR6047042A79,KR6047041A70,[],2394166.0,
KR6290121A53,KR6290121A53,[],2394245.0,
KR6204321A52,KR6204321A52,[],2394243.0,
KR6204322A51,KR6204321A52,[],2394243.0,
KR6138041A51,KR6138041A51,[],2394200.0,
KR6005281A51,KR6005281A51,[],2394130.0,
KR6005281A77,KR6005281A77,[],2394131.0,
KR6037091A62,KR6037091A62,['cannot find issuer comanpy id 신세계센트럴시티'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6055551A59,KR6055551A59,[],2394170.0,
KR6000011A67,KR6000011A67,[],2394107.0,
KR6000012A66,KR6000012A66,[],2394109.0,
KR6000011A75,KR6000011A75,[],2394108.0,
KR6035761A65,KR6035761A65,[],2394165.0,
KR6035762A64,KR6035761A65,[],2394165.0,
KR6019451A64,KR6019451A64,[],2394145.0,
KR6019452A63,KR6019451A64,[],2394145.0,
KR6019453A62,KR6019451A64,[],2394145.0,
KR6019454A61,KR6019451A64,[],2394145.0,
KR6019455A60,KR6019455A60,[],2394147.0,
KR6019456A69,KR6019455A60,[],2394147.0,
KR6019457A68,KR6019455A60,[],2394147.0,
KR6019458A67,KR6019455A60,[],2394147.0,
KR6019459A66,KR6019455A60,[],2394147.0,
KR601945AA61,KR6019455A60,[],2394147.0,
KR6019451A72,KR6019451A72,[],2394146.0,
KR6019452A71,KR6019451A72,[],2394146.0,
KR6019453A70,KR6019451A72,[],2394146.0,
KR6019454A79,KR6019451A72,[],2394146.0,
KR6019455A78,KR6019455A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6019456A77,KR6019455A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6019457A76,KR6019455A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6138251A64,KR6138251A64,[],2394202.0,
KR6064401A53,KR6064401A53,[],2394172.0,
KR6064402A52,KR6064401A53,[],2394172.0,
KR6064403A51,KR6064401A53,[],2394172.0,
KR6293981A64,KR6293981A64,[],2394246.0,
KR6316141A60,KR6316141A60,[],2394247.0,
KR6000031A55,KR6000031A55,[],2394110.0,
KR6000032A54,KR6000032A54,[],2394113.0,
KR6000031A63,KR6000031A63,[],2394111.0,
KR6000032A62,KR6000032A62,['no original book runner info'],2394114.0,
KR6000031A71,KR6000031A71,['no original book runner info'],2394112.0,
KR6174141A63,KR6174141A63,[],2394233.0,
KR6174142A62,KR6174141A63,[],2394233.0,
KR6174143A61,KR6174141A63,[],2394233.0,
KR6174144A60,KR6174141A63,[],2394233.0,
KR6174145A69,KR6174141A63,[],2394233.0,
KR6174146A68,KR6174141A63,[],2394233.0,
KR6174148A66,KR6174148A66,[],2394234.0,
KR6174149A65,KR6174148A66,[],2394234.0,
KR617414AA69,KR617414AA69,[],2394235.0,
KR617414BA68,KR617414BA68,[],2394236.0,
KR617414CA67,KR617414BA68,[],2394236.0,
KR617414DA66,KR617414BA68,[],2394236.0,
KR6069591A60,KR6069591A60,[],2394176.0,
KR6140171A59,KR6140171A59,[],2394207.0,
KR6140172A58,KR6140171A59,[],2394207.0,
KR6140173A57,KR6140173A57,[],2394210.0,
KR6140174A56,KR6140174A56,[],2394212.0,
KR6140175A55,KR6140174A56,[],2394212.0,
KR6140171A67,KR6140171A67,[],2394208.0,
KR6140172A66,KR6140171A67,[],2394208.0,
KR6140173A65,KR6140173A65,[],2394211.0,
KR6140174A64,KR6140173A65,[],2394211.0,
KR6140175A63,KR6140173A65,[],2394211.0,
KR6140176A62,KR6140176A62,[],2394214.0,
KR6140177A61,KR6140176A62,[],2394214.0,
KR6140178A60,KR6140176A62,[],2394214.0,
KR6140179A69,KR6140179A69,[],2394215.0,
KR614017AA67,KR6140179A69,[],2394215.0,
KR614017BA66,KR6140179A69,[],2394215.0,
KR6140171A75,KR6140171A75,[],2394209.0,
KR6140172A74,KR6140171A75,[],2394209.0,
KR6140173A73,KR6140171A75,[],2394209.0,
KR6140174A72,KR6140171A75,[],2394209.0,
KR6140175A71,KR6140175A71,[],2394213.0,
KR6140176A70,KR6140175A71,[],2394213.0,
KR6140177A79,KR6140175A71,[],2394213.0,
KR6140178A78,KR6140179A78,[],2394216.0,
KR6140179A77,KR6140179A78,[],2394216.0,
KR614017AA75,KR6140179A78,[],2394216.0,
KR614017BA74,KR6140179A78,[],2394216.0,
KR614017CA73,KR6140179A78,[],2394216.0,
KR6002381A65,KR6002381A65,[],2394122.0,
KR6030201A64,KR6030201A64,[],2394153.0,
KR6030202A63,KR6030201A64,[],2394153.0,
KR6030203A62,KR6030201A64,[],2394153.0,
KR6030204A61,KR6030201A64,[],2394153.0,
KR6105551A60,KR6105551A60,['no original book runner info'],2394194.0,
KR6054301A63,KR6054301A63,['no original book runner info'],2394169.0,
KR6047051A51,KR6047051A51,[],2394167.0,
KR6047052A50,KR6047051A51,[],2394167.0,
KR6003671A62,KR6003671A62,[],2394125.0,
KR6003672A61,KR6003671A62,[],2394125.0,
KR6086791A54,KR6086791A54,[],2394188.0,
KR6086792A53,KR6086791A54,[],2394188.0,
KR6086793A52,KR6086793A52,[],2394190.0,
KR6086794A51,KR6086793A52,[],2394190.0,
KR6086791A70,KR6086791A70,[],2394189.0,
KR6086792A79,KR6086791A70,[],2394189.0,
KR6066561A62,KR6066561A62,[],2394173.0,
KR6066562A61,KR6066561A62,[],2394173.0,
KR6066561A70,KR6066561A70,[],2394174.0,
KR6066562A79,KR6066561A70,[],2394174.0,
KR6060981A75,KR6060981A75,[],2394171.0,
KR6060982A74,KR6060981A75,[],2394171.0,
KR6008691A67,KR6008691A67,[],2394139.0,
KR6002322A75,KR6002322A75,['no original book runner info'],2394121.0,
KR6180641A73,KR6180641A73,['no original book runner info'],2394240.0,
KR6000881A64,KR6000881A64,[],2394118.0,
KR6068921A55,KR6068921A55,"['no original book runner info', 'no original book runner info']",2394175.0,
KR6068922A54,KR6068921A55,"['no original book runner info', 'no original book runner info']",2394175.0,
KR6069961A54,KR6069961A54,[],2394177.0,
KR6069962A53,KR6069961A54,[],2394177.0,
KR6160721A60,KR6160721A60,[],2394226.0,
KR6160722A69,KR6160721A60,[],2394226.0,
KR6101181A59,KR6101181A59,[],2394193.0,
KR6101182A58,KR6101181A59,[],2394193.0,
KR6095571A77,KR6095571A77,[],2394192.0,
KR6095572A76,KR6095571A77,[],2394192.0,
KR6047801A62,KR6047801A62,[],2394168.0,
KR6047802A61,KR6047801A62,[],2394168.0,
KR6079311A50,KR6079311A50,[],2394179.0,
KR6079312A59,KR6079311A50,[],2394179.0,
KR6079313A58,KR6079313A58,[],2394182.0,
KR6079314A57,KR6079313A58,[],2394182.0,
KR6079315A56,KR6079313A58,[],2394182.0,
KR6079316A55,KR6079313A58,[],2394182.0,
KR6079317A54,KR6079313A58,[],2394182.0,
KR6079311A68,KR6079311A68,[],2394180.0,
KR6079312A67,KR6079311A68,[],2394180.0,
KR6079313A66,KR6079313A66,[],2394183.0,
KR6079311A76,KR6079311A76,[],2394181.0,
KR6079312A75,KR6079311A76,[],2394181.0,
KR6079313A74,KR6079311A76,[],2394181.0,
KR6003451A68,KR6003451A68,"['no original book runner info', 'no original book runner info']",2394123.0,
KR6003452A67,KR6003451A68,"['no original book runner info', 'no original book runner info']",2394123.0,
KR6166261A63,KR6166261A63,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info', 'no original book runner info']",0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6166262A62,KR6166261A63,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info', 'no original book runner info']",0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6166261A71,KR6166261A71,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info', 'no original book runner info']",0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6166262A70,KR6166261A71,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info', 'no original book runner info']",0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6010061A73,KR6010061A73,[],2394140.0,
KR6034731A65,KR6034731A65,"['no original book runner info', 'no original book runner info', 'no original book runner info']",2394164.0,
KR6034732A64,KR6034731A65,"['no original book runner info', 'no original book runner info', 'no original book runner info']",2394164.0,
KR6034733A63,KR6034731A65,"['no original book runner info', 'no original book runner info', 'no original book runner info']",2394164.0,
KR6011791A52,KR6011791A52,[],2394142.0,
KR6011792A51,KR6011791A52,[],2394142.0,
KR6018671A60,KR6018671A60,[],2394144.0,
KR6018672A69,KR6018671A60,[],2394144.0,
KR6018673A68,KR6018671A60,[],2394144.0,
KR6117521A54,KR6117521A54,[],2394199.0,
KR6117522A53,KR6117521A54,[],2394199.0,
KR6117523A52,KR6117521A54,[],2394199.0,
KR6138101A66,KR6138101A66,[],2394201.0,
KR6138102A65,KR6138101A66,[],2394201.0,
KR6007691A69,KR6007691A69,[],2394134.0,
KR6000211A57,KR6000211A57,[],2394115.0,
KR6000212A56,KR6000211A57,[],2394115.0,
KR6003541A78,KR6003541A78,[],2394124.0,
KR6001791A53,KR6001791A53,[],2394120.0,
KR6001792A52,KR6001791A53,[],2394120.0,
KR6000641A57,KR6000641A57,[],2394117.0,
KR6089861A61,KR6089861A61,[],2394191.0,
KR6089862A60,KR6089861A61,[],2394191.0,
KR6000401A57,KR6000401A57,[],2394116.0,
KR6030621A58,KR6030621A58,[],2394154.0,
KR6030622A57,KR6030621A58,[],2394154.0,
KR6030623A56,KR6030623A56,[],2394157.0,
KR6030624A55,KR6030624A55,[],2394160.0,
KR6030625A54,KR6030624A55,[],2394160.0,
KR6030626A53,KR6030626A53,[],2394161.0,
KR6030627A52,KR6030627A52,[],2394162.0,
KR6030621A66,KR6030621A66,[],2394155.0,
KR6030622A65,KR6030621A66,[],2394155.0,
KR6030623A64,KR6030623A64,[],2394158.0,
KR6030621A74,KR6030621A74,[],2394156.0,
KR6030622A73,KR6030621A74,[],2394156.0,
KR6030623A72,KR6030623A72,[],2394159.0,
KR6030624A71,KR6030623A72,[],2394159.0,
KR6029692A47,KR6029692A47,[],2394151.0,
KR6029691A55,KR6029691A55,[],2394148.0,
KR6029692A54,KR6029691A55,[],2394148.0,
KR6029693A53,KR6029691A55,[],2394148.0,
KR6029694A52,KR6029691A55,[],2394148.0,
KR6029695A51,KR6029695A51,[],2394152.0,
KR6029696A50,KR6029695A51,[],2394152.0,
KR6029697A59,KR6029695A51,[],2394152.0,
KR6029691A63,KR6029691A63,[],2394149.0,
KR6029692A62,KR6029691A63,[],2394149.0,
KR6029693A61,KR6029691A63,[],2394149.0,
KR6029691A71,KR6029691A71,[],2394150.0,
KR6029692A70,KR6029691A71,[],2394150.0,
KR6029693A79,KR6029691A71,[],2394150.0,
KR6029694A78,KR6029694A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6029695A77,KR6029694A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6029696A76,KR6029694A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6029697A75,KR6029694A78,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6011171A78,KR6011171A78,[],2394141.0,
KR6011172A77,KR6011171A78,[],2394141.0,
KR6071841A64,KR6071841A64,[],2394178.0,
KR6267981A50,KR6267981A50,[],2394244.0,
KR6008561A56,KR6008561A56,[],2394137.0,
KR6008561A64,KR6008561A64,[],2394138.0,
KR6169371A56,KR6169371A56,[],2394227.0,
KR6169371A64,KR6169371A64,[],2394228.0,
KR6169372A63,KR6169371A64,[],2394228.0,
KR6169373A62,KR6169371A64,[],2394228.0,
KR6169374A61,KR6169374A61,[],2394231.0,
KR6169371A72,KR6169371A72,[],2394229.0,
KR6169373A70,KR6169373A70,[],2394230.0,
KR6169374A79,KR6169374A79,[],2394232.0,
KR6169375A78,KR6169374A79,[],2394232.0,
KR6006801A68,KR6006801A68,"['no original book runner info', 'no original book runner info']",2394132.0,
KR6006802A67,KR6006801A68,"['no original book runner info', 'no original book runner info']",2394132.0,
KR6082971A55,KR6082971A55,[],2394184.0,
KR6082971A63,KR6082971A63,[],2394185.0,
KR6082972A62,KR6082971A63,[],2394185.0,
KR6082971A71,KR6082971A71,[],2394186.0,
KR6082972A70,KR6082972A70,[],2394187.0,
KR6082973A79,KR6082972A70,[],2394187.0,
KR6003851A64,KR6003851A64,[],2394126.0,
KR6031321A67,KR6031321A67,[],2394163.0,
KR6145761A54,KR6145761A54,[],2394217.0,
KR6145762A53,KR6145761A54,[],2394217.0,
KR6145763A52,KR6145761A54,[],2394217.0,
KR6145764A51,KR6145761A54,[],2394217.0,
KR6145765A50,KR6145761A54,[],2394217.0,
KR6145766A59,KR6145766A59,[],2394221.0,
KR6145767A58,KR6145766A59,[],2394221.0,
KR6145768A57,KR6145766A59,[],2394221.0,
KR6145769A56,KR6145769A56,[],2394223.0,
KR614576AA52,KR6145769A56,[],2394223.0,
KR614576BA51,KR6145769A56,[],2394223.0,
KR614576CA50,KR6145769A56,[],2394223.0,
KR614576DA59,KR6145769A56,[],2394223.0,
KR614576EA58,KR6145769A56,[],2394223.0,
KR6145761A62,KR6145761A62,[],2394218.0,
KR6145762A61,KR6145761A62,[],2394218.0,
KR6145763A60,KR6145761A62,[],2394218.0,
KR6145764A69,KR6145761A62,[],2394218.0,
KR6145765A68,KR6145761A62,[],2394218.0,
KR6145766A67,KR6145766A67,[],2394222.0,
KR6145767A66,KR6145766A67,[],2394222.0,
KR6145768A65,KR6145766A67,[],2394222.0,
KR6145769A64,KR6145766A67,[],2394222.0,
KR614576AA60,KR614576AA60,[],2394225.0,
KR614576BA69,KR614576AA60,[],2394225.0,
KR614576CA68,KR614576AA60,[],2394225.0,
KR614576DA67,KR614576AA60,[],2394225.0,
KR614576EA66,KR614576AA60,[],2394225.0,
KR6145761A70,KR6145761A70,[],2394219.0,
KR6145762A79,KR6145761A70,[],2394219.0,
KR6145763A78,KR6145761A70,[],2394219.0,
KR6145764A77,KR6145764A77,[],2394220.0,
KR6145765A76,KR6145764A77,[],2394220.0,
KR6145766A75,KR6145764A77,[],2394220.0,
KR6145767A74,KR6145764A77,[],2394220.0,
KR6145768A73,KR6145764A77,[],2394220.0,
KR6145769A72,KR6145769A72,[],2394224.0,
KR614576AA78,KR6145769A72,[],2394224.0,
KR614576BA77,KR6145769A72,[],2394224.0,
KR614576CA76,KR6145769A72,[],2394224.0,
KR6007161A60,KR6007161A60,[],2394133.0,
KR6008271A57,KR6008271A57,[],2394135.0,
KR6008272A56,KR6008271A57,[],2394135.0,
KR6008273A55,KR6008271A57,[],2394135.0,
KR6008274A54,KR6008271A57,[],2394135.0,
KR6008275A53,KR6008271A57,[],2394135.0,
KR6008276A52,KR6008276A52,[],2394136.0,
KR6008277A51,KR6008276A52,[],2394136.0,
KR6008278A50,KR6008276A52,[],2394136.0,
KR6008279A59,KR6008279A59,[],2394287.0,
KR600827AA58,KR6008279A59,[],2394287.0,
KR600827BA57,KR6008279A59,[],2394287.0,
KR6008271A65,KR6008271A65,[],2394283.0,
KR6008272A64,KR6008271A65,[],2394283.0,
KR6008273A63,KR6008271A65,[],2394283.0,
KR6008274A62,KR6008271A65,[],2394283.0,
KR6008275A61,KR6008275A61,[],2394286.0,
KR6008276A60,KR6008275A61,[],2394286.0,
KR6008271A73,KR6008271A73,[],2394284.0,
KR6008272A72,KR6008271A73,[],2394284.0,
KR6008273A71,KR6008273A71,[],2394285.0,
KR6008274A70,KR6008273A71,[],2394285.0,
KR6029789A41,KR6029789A41,[],2394323.0,
KR6029781A56,KR6029781A56,[],2394309.0,
KR6029782A55,KR6029782A55,[],2394312.0,
KR6029783A54,KR6029782A55,[],2394312.0,
KR6029784A53,KR6029784A53,[],2394315.0,
KR6029785A52,KR6029785A52,[],2394318.0,
KR6029786A51,KR6029785A52,[],2394318.0,
KR6029781A64,KR6029781A64,[],2394310.0,
KR6029782A63,KR6029781A64,[],2394310.0,
KR6029783A62,KR6029783A62,[],2394313.0,
KR6029784A61,KR6029784A61,[],2394316.0,
KR6029785A60,KR6029784A61,[],2394316.0,
KR6029786A69,KR6029784A61,[],2394316.0,
KR6029787A68,KR6029787A68,[],2394320.0,
KR6029788A67,KR6029788A67,[],2394321.0,
KR6029781A72,KR6029781A72,[],2394311.0,
KR6029782A71,KR6029781A72,[],2394311.0,
KR6029783A70,KR6029783A70,[],2394314.0,
KR6029784A79,KR6029784A79,[],2394317.0,
KR6029785A78,KR6029784A79,[],2394317.0,
KR6029786A77,KR6029786A77,[],2394319.0,
KR6029787A76,KR6029786A77,[],2394319.0,
KR6029788A75,KR6029788A75,[],2394322.0,
KR6029789A74,KR6029788A75,[],2394322.0,
KR6004691A58,KR6004691A58,[],2394278.0,
KR6004692A57,KR6004691A58,[],2394278.0,
KR6032711A55,KR6032711A55,['no original book runner info'],2394340.0,
KR6032712A54,KR6032712A54,[],2394343.0,
KR6032713A53,KR6032712A54,[],2394343.0,
KR6032714A52,KR6032714A52,[],2394344.0,
KR6032715A51,KR6032714A52,[],2394344.0,
KR6032716A50,KR6032716A50,[],2394347.0,
KR6032717A59,KR6032716A50,[],2394347.0,
KR6032718A58,KR6032718A58,[],2394350.0,
KR6032719A57,KR6032718A58,[],2394350.0,
KR6032711A63,KR6032711A63,[],2394341.0,
KR6032712A62,KR6032711A63,[],2394341.0,
KR6032713A61,KR6032711A63,[],2394341.0,
KR6032714A60,KR6032714A60,[],2394345.0,
KR6032715A69,KR6032714A60,[],2394345.0,
KR6032716A68,KR6032714A60,[],2394345.0,
KR6032717A67,KR6032717A67,[],2394348.0,
KR6032718A66,KR6032718A66,[],2394351.0,
KR6032719A65,KR6032718A66,[],2394351.0,
KR603271AA61,KR6032718A66,[],2394351.0,
KR603271BA60,KR603271BA60,[],2394353.0,
KR603271CA69,KR603271BA60,[],2394353.0,
KR603271DA68,KR603271BA60,[],2394353.0,
KR603271EA67,KR603271EA67,[],2394355.0,
KR603271FA66,KR603271EA67,[],2394355.0,
KR603271GA65,KR603271EA67,[],2394355.0,
KR603271HA64,KR603271HA64,[],2394356.0,
KR6032711A71,KR6032711A71,[],2394342.0,
KR6032712A70,KR6032711A71,[],2394342.0,
KR6032713A79,KR6032711A71,[],2394342.0,
KR6032714A78,KR6032714A78,[],2394346.0,
KR6032715A77,KR6032714A78,[],2394346.0,
KR6032716A76,KR6032714A78,[],2394346.0,
KR6032717A75,KR6032717A75,[],2394349.0,
KR6032718A74,KR6032717A75,[],2394349.0,
KR6032719A73,KR6032717A75,[],2394349.0,
KR603271AA79,KR603271AA79,[],2394352.0,
KR603271BA78,KR603271AA79,[],2394352.0,
KR603271CA77,KR603271AA79,[],2394352.0,
KR603271DA76,KR603271DA76,[],2394354.0,
KR603271EA75,KR603271DA76,[],2394354.0,
KR603271FA74,KR603271DA76,[],2394354.0,
