isin,tranches in same deal,deal_number,parse_notes,parse_notes
KR6138931A21,KR6138931A21,2394645,[],
KR6138931A47,KR6138931A47,2394646,[],
KR6139131A27,KR6139131A27,2394647,[],
KR6176941A11,KR6176941A11,2394648,[],
KR6176942A10,KR6176941A11,2394648,[],
KR6176943A19,KR6176941A11,2394648,[],
KR6176941A29,KR6176941A29,2394649,[],
KR6176942A28,KR6176941A29,2394649,[],
KR6176943A27,KR6176941A29,2394649,[],
KR6176941A37,KR6176941A37,2394650,[],
KR6176942A36,KR6176941A37,2394650,[],
KR6176943A35,KR6176941A37,2394650,[],
KR6078931A45,KR6078931A45,0,['cannot find issuer comanpy id GS'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6105561A19,KR6105561A19,2394651,[],
KR6105562A18,KR6105561A19,2394651,[],
KR6105563A17,KR6105561A19,2394651,[],
KR6105561A27,KR6105561A27,2394652,[],
KR6105562A26,KR6105561A27,2394652,[],
KR6032641A19,KR6032641A19,2394653,[],
KR6032642A18,KR6032641A19,2394653,[],
KR6032643A17,KR6032641A19,2394653,[],
KR6032644A16,KR6032641A19,2394653,[],
KR6051911A20,KR6051911A20,2394654,[],
KR6051912A29,KR6051911A20,2394654,[],
KR6051913A28,KR6051911A20,2394654,[],
KR6051914A27,KR6051911A20,2394654,[],
KR6192521A16,KR6192521A16,2394994,[],
KR6192522A15,KR6192522A15,2394655,[],
KR6192524A13,KR6192524A13,2394656,[],
KR6192523A14,KR6192523A14,2394657,[],
KR6192521A32,KR6192521A32,2394658,[],
KR6192521A40,KR6192521A40,2394659,[],
KR6192531A22,KR6192531A22,2394660,[],
KR6005271A38,KR6005271A38,2394661,[],
KR6005272A37,KR6005272A37,2394662,[],
KR6005271A46,KR6005271A46,2394663,[],
KR6080611A22,KR6080611A22,2394664,[],
KR6080612A21,KR6080611A22,2394664,[],
KR6003491A29,KR6003491A29,2394665,[],
KR6003492A28,KR6003491A29,2394665,[],
KR6000151A26,KR6000151A26,2394667,[],
KR6005281A36,KR6005281A36,2394668,[],
KR6005282A35,KR6005282A35,2394669,[],
KR6145991A31,KR6145991A31,2394670,"['no original book runner info', 'no original book runner info']",
KR6145992A30,KR6145991A31,2394670,"['no original book runner info', 'no original book runner info']",
KR6043711A29,KR6043711A29,2394671,['no original book runner info'],
KR6034241A27,KR6034241A27,2394672,[],
KR6031441A13,KR6031441A13,2394673,[],
KR6055551A26,KR6055551A26,2394674,[],
KR6055552A25,KR6055551A26,2394674,[],
KR6055553A24,KR6055551A26,2394674,[],
KR6055551A34,KR6055551A34,2394675,[],
KR6055551A42,KR6055551A42,2394677,[],
KR6055552A41,KR6055551A42,2394677,[],
KR6055553A40,KR6055553A40,2394678,[],
KR6000011A18,KR6000011A18,2394679,[],
KR6000012A25,KR6000012A25,2394680,"['no original book runner info', 'no original book runner info']",
KR6000011A26,KR6000012A25,2394680,"['no original book runner info', 'no original book runner info']",
KR6000011A34,KR6000011A34,2394681,[],
KR6000012A33,KR6000012A33,2394682,[],
KR6000013A32,KR6000013A32,2394683,['no original book runner info'],
KR6000015A30,KR6000015A30,2394684,[],
KR6000017A38,KR6000017A38,2394685,"['no original book runner info', 'no original book runner info']",
KR6000018A37,KR6000017A38,2394685,"['no original book runner info', 'no original book runner info']",
KR6000019A36,KR6000019A36,2394686,[],
KR6019451A15,KR6019451A15,2394687,[],
KR6019452A14,KR6019451A15,2394687,[],
KR6019453A13,KR6019451A15,2394687,[],
KR6019454A12,KR6019451A15,2394687,[],
KR6019455A11,KR6019455A11,2394688,[],
KR6019456A10,KR6019455A11,2394688,[],
KR6019457A19,KR6019455A11,2394688,[],
KR6019451A23,KR6019451A23,2394689,[],
KR6019452A22,KR6019451A23,2394689,[],
KR6019453A21,KR6019451A23,2394689,[],
KR6019454A20,KR6019451A23,2394689,[],
KR6019451A31,KR6019451A31,2394690,[],
KR6019452A30,KR6019451A31,2394690,[],
KR6019453A39,KR6019451A31,2394690,[],
KR6019454A38,KR6019451A31,2394690,[],
KR6019455A37,KR6019451A31,2394690,[],
KR6019456A36,KR6019451A31,2394690,[],
KR6019451A49,KR6019451A49,2394692,[],
KR6019452A48,KR6019451A49,2394692,[],
KR6019453A47,KR6019451A49,2394692,[],
KR6019454A46,KR6019454A46,2394693,[],
KR6019455A45,KR6019454A46,2394693,[],
KR6019456A44,KR6019454A46,2394693,[],
KR6019457A43,KR6019457A43,2394694,[],
KR6019458A42,KR6019457A43,2394694,[],
KR6019459A41,KR6019457A43,2394694,[],
KR601945AA46,KR6019457A43,2394694,[],
